Letra;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72;x73;x74;x75;x76;x77;x78;x79;x80;x81;x82;x83;x84;x85;x86;x87;x88;x89;x90;x91;x92;x93;x94;x95;x96;x97;x98;x99;x100
F4;0;3;5;7;9;41;42;43;42;24;9;24;28;41;39;21;20;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2
G1;15;27;32;21;16;14;13;11;10;8;8;7;8;7;7;8;6;7;6;6;5;6;5;6;6;5;5;7;7;7;7;7;6;8;6;7;7;6;6;7;6;7;7;8;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;9;8;9;8;7;8;8;7;8;9;8;8;9;8;7;8;8;9;9;8;9;9;10;8;10;11;11;10;10;12;14;22;22;18;11;12;15;11;6
G2;60;60;80;80;80;80;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;90;90;90;90;80;80;80;80;80;80;80;80;80;80;80
G3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;6;5;6;5;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;5;7;7;6;6;6;6;12;11;12;12;12;12;12;12;12;13;12;14;13;13;14;14;11;12;13;14;15;14;15;15;13;14;15;16;16;22;21;21;25;27;31;24;23;18;12;8
G4;2;6;9;12;15;23;19;19;20;19;18;20;19;17;18;16;17;18;16;17;17;15;15;13;14;15;15;15;13;14;13;15;14;14;13;14;15;17;15;16;13;14;14;13;13;14;14;13;15;14;14;12;13;13;14;12;13;12;14;14;13;14;14;13;13;12;14;14;14;13;15;14;13;13;14;13;13;12;14;14;12;12;13;13;12;13;13;13;13;13;13;13;13;13;13;13;13;13;10;7
H1;0;36;43;49;22;22;18;15;13;11;10;10;14;22;19;14;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;14;19;19;23;21;21;23;20;15;11;11;11;9;9;9;8;28;27;24
H2;0;0;0;34;34;37;37;41;41;41;42;42;44;44;49;49;49;50;50;51;51;54;54;54;24;24;21;21;21;21;21;22;22;21;21;18;18;18;18;18;18;18;15;15;15;16;16;12;12;11;11;11;10;10;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;11;11;11;11;11;12;12;18;18;18;21;21;20;20;20;20;20;18;18;17;17;14;14;14;13;13;9;9;4;4
H3;0;37;42;50;53;21;21;18;16;13;11;11;10;14;23;20;16;11;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;5;10;16;24;19;20;22;22;23;20;15;9;3
H4;2;6;10;14;16;14;11;11;10;13;20;22;19;15;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;10;14;18;22;22;23;23;21;23;20;15;9;2
I1;2;2;2;3;2;2;2;2;3;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;32;51;98;68;50;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2
I2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;31;50;89;68;50;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;2;2;2;2
I3;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;88;88;77;77;77;77;55;55;11
I4;6;9;8;9;8;8;9;9;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;89;94;96;13;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7
J1;5;13;23;29;18;9;6;5;5;6;6;5;6;5;5;6;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;5;6;6;6;6;6;7;7;9;12;15;58;76;70;22;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
J2;13;13;13;23;23;31;31;38;38;44;44;54;54;58;58;64;64;64;68;68;53;53;44;44;41;41;38;38;33;33;24;24;23;23;23;17;17;16;16;16;16;16;16;12;12;10;10;10;10;10;10;10;10;10;9;9;9;9;8;8;8;8;7;7;7;7;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;5;5;4;4;5;5;5;5;5;5
J3;5;18;24;29;37;40;42;48;37;34;35;37;32;28;26;27;22;22;20;22;19;19;19;22;22;20;18;20;19;21;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;17;20;20;20;18;20;20;19;17;19;19;22;20;18;24;26;27;27;32;31;29;29;32;35;30;32;37;35;30;26;22;15;13
J4;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;88;88;77;77;77;77;77;55;55;55;11;11
K1;1;6;18;30;34;32;29;25;26;29;26;28;26;23;24;18;18;5;5;5;5;6;5;5;6;5;7;5;5;5;4;5;6;5;6;6;6;5;5;5;5;5;5;6;5;5;5;6;6;7;5;6;6;8;6;6;4;6;4;6;6;7;5;6;6;4;5;5;7;6;6;4;6;5;5;6;6;6;5;5;4;5;6;6;6;7;5;3;2;3;4;3;3;3;3;3;3;3;2;1
K2;4;4;4;4;7;7;7;10;10;10;10;10;10;10;10;10;14;14;14;17;17;17;24;24;24;30;30;30;34;34;34;40;40;40;44;44;44;44;44;44;43;43;43;44;44;44;40;40;40;40;40;40;43;43;43;43;43;43;44;44;44;40;40;40;40;40;40;40;40;40;40;40;40;44;44;44;40;40;40;37;37;37;36;36;36;33;33;33;27;27;27;23;23;23;17;17;17;3;3;3
K3;7;7;7;7;7;7;7;7;16;16;16;16;16;16;16;16;36;36;36;36;36;36;36;36;44;44;44;44;44;44;44;100;100;100;100;100;100;100;100;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;98;98;98;98;98;98;98;98;95;95;95;95;95;95;95;95;83;83;83;83;83;83;83;76;76;76;76;76;76;76;76;56;56;56;56;56;56;56;56;48;48;48;48;48;48;48
K4;8;8;8;8;8;8;8;8;18;18;18;18;18;18;18;18;42;42;42;42;42;42;42;42;51;51;51;51;51;51;51;100;100;100;100;100;100;100;100;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;95;95;95;95;95;95;95;95;92;92;92;92;92;92;92;92;79;79;79;79;79;79;79;69;69;69;69;69;69;69;69;45;45;45;45;45;45;45;45;36;36;36;36;36;36;36
L1;2;12;17;53;56;74;38;23;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;3;5;6;5;4
L2;9;24;24;24;24;27;24;24;27;24;24;27;24;24;27;24;24;27;27;24;27;24;24;23;23;26;23;23;23;23;23;23;26;23;23;26;23;26;23;26;26;23;23;26;23;23;26;24;24;24;24;24;27;24;24;24;27;24;24;27;24;24;24;24;24;27;24;24;24;27;24;24;24;24;24;24;24;27;24;24;27;24;24;24;24;24;26;23;23;47;53;65;74;76;88;82;70;64;50;39
